
Load Training Dataset ...
The number of training data is: 4500

Model Initial ...
Do not use pretrain model!
PARAMETER ...
Namespace(amp=True, angRes=5, batch_size=1, channels=64, data_name='HCI_new', decay_rate=0, epoch=50, gamma=0.5, global_batch_size=8, local_rank=0, lr=0.0002, model_name='LFT', n_steps=15, num_workers=4, patch_size_for_test=32, path_for_test='./data/LFSR_processed_rgb/data_for_test/', path_for_train='./data/LFSR_processed_y/data_for_train/', path_log='./log/', path_pre_pth='./pth/LFT_5x5_4x_epoch_50_model.pth', scale_factor=2, stride_for_test=16, use_pre_pth=False)
training with fp16 mode.

Start training...

Epoch 1 /50:
Train - loss: 0.00376, ssim: 37.55805, psnr: 0.99149
Train - loss: 0.01357, ssim: 28.95769, psnr: 0.86640
Train - loss: 0.00810, ssim: 31.11963, psnr: 0.90838
Train - loss: 0.00505, ssim: 36.57861, psnr: 0.98056
Train - loss: 0.00384, ssim: 36.88971, psnr: 0.99105
Train - loss: 0.00394, ssim: 39.55068, psnr: 0.98433
Train - loss: 0.00519, ssim: 37.28695, psnr: 0.95987
Train - loss: 0.00323, ssim: 40.29923, psnr: 0.98779
Train - loss: 0.00851, ssim: 32.87830, psnr: 0.92249
Train - loss: 0.01343, ssim: 29.41531, psnr: 0.89040
Train - loss: 0.00460, ssim: 35.73018, psnr: 0.97372
Train - loss: 0.00674, ssim: 34.03375, psnr: 0.96462
Train - loss: 0.01003, ssim: 31.63169, psnr: 0.90876
Train - loss: 0.00558, ssim: 36.24928, psnr: 0.95712
Train - loss: 0.02652, ssim: 23.34521, psnr: 0.69889
Train - loss: 0.00753, ssim: 33.23217, psnr: 0.92923
Train - loss: 0.00971, ssim: 31.36665, psnr: 0.86676
Train - loss: 0.01756, ssim: 26.80000, psnr: 0.87047
Train - loss: 0.00293, ssim: 39.03183, psnr: 0.98810
Train - loss: 0.00542, ssim: 36.61222, psnr: 0.96311
Train - loss: 0.00261, ssim: 43.46782, psnr: 0.98880
Train - loss: 0.00658, ssim: 33.53131, psnr: 0.96671
Train - loss: 0.00821, ssim: 33.46565, psnr: 0.91529
Train - loss: 0.01419, ssim: 28.19762, psnr: 0.90229
Train - loss: 0.00331, ssim: 40.53924, psnr: 0.98418
Train - loss: 0.00420, ssim: 38.20164, psnr: 0.98170
Train - loss: 0.00345, ssim: 39.16803, psnr: 0.99320
Train - loss: 0.00316, ssim: 41.52495, psnr: 0.98552
The 2th Train, loss is: 0.00566, psnr is 37.30056, ssim is 0.96128
Saving the epoch_02 model at log/SR_5x5_2x/LFT/HCI_new/checkpoints/LFT_5x5_2x_epoch_02_model.pth

Epoch 3 /50:
Train - loss: 0.00174, ssim: 44.63874, psnr: 0.99414
Train - loss: 0.01309, ssim: 28.37347, psnr: 0.93364
Train - loss: 0.00461, ssim: 38.50806, psnr: 0.97042
Train - loss: 0.00497, ssim: 36.61446, psnr: 0.97485
Train - loss: 0.00475, ssim: 37.54823, psnr: 0.97366
Train - loss: 0.00732, ssim: 32.16735, psnr: 0.95367
Train - loss: 0.00683, ssim: 33.87406, psnr: 0.95591
Train - loss: 0.01160, ssim: 27.97697, psnr: 0.91467
Train - loss: 0.00760, ssim: 32.66728, psnr: 0.97789
